key,turkish,english,source_file,line,raw_snippet
MdaiAgentHakkinda,mdaiAgent — Hakkında,,AboutWindow.xaml; AboutWindow.xaml.cs,4,"Title=""mdaiAgent — Hakkında"""
Gelistirici,Geliştirici:,,AboutWindow.xaml; AboutWindow.xaml.cs,179,"Text=""Geliştirici: """
_2026MdaiAgentTumHaklariSaklidir,© 2026 mdaiAgent — Tüm hakları saklıdır.,,AboutWindow.xaml; AboutWindow.xaml.cs,196,"Text=""© 2026 mdaiAgent — Tüm hakları saklıdır."""
VerificationLoopBasladi,🔄 Verification Loop başladı...,,AgentVerificationLoopService.cs,42,🔄 Verification Loop başladı...
BuildBasarisizBuildResultError,❌ Build başarısız: {buildResult.Error},,AgentVerificationLoopService.cs,51,❌ Build başarısız: {buildResult.Error}
BuildHatasiIcinOtomatikDuzeltmeBaslatiliyor,🔧 Build hatası için otomatik düzeltme başlatılıyor...,,AgentVerificationLoopService.cs,54,🔧 Build hatası için otomatik düzeltme başlatılıyor...
BuildHatasiOtomatikDuzeltildiTestlerKontrolEdiliyor,✓ Build hatası otomatik düzeltildi! Testler kontrol ediliyor...,,AgentVerificationLoopService.cs,59,✓ Build hatası otomatik düzeltildi! Testler kontrol ediliyor...
BuildHatasiOtomatikDuzeltilemedi,❌ Build hatası otomatik düzeltilemedi,,AgentVerificationLoopService.cs,76,❌ Build hatası otomatik düzeltilemedi
BuildBasarili,✓ Build başarılı,,AgentVerificationLoopService.cs,84,✓ Build başarılı
TestlerBasarisizTestResultError,❌ Testler başarısız: {testResult.Error},,AgentVerificationLoopService.cs,93,❌ Testler başarısız: {testResult.Error}
OtomatikDuzeltmeBasarili,✓ Otomatik düzeltme başarılı!,,AgentVerificationLoopService.cs,100,✓ Otomatik düzeltme başarılı!
OtomatikDuzeltmeBasarisiz,❌ Otomatik düzeltme başarısız,,AgentVerificationLoopService.cs,105,❌ Otomatik düzeltme başarısız
TumTestlerGecti,✓ Tüm testler geçti!,,AgentVerificationLoopService.cs,112,✓ Tüm testler geçti!
VerificationProjectTypeProjesiIcinBuildAdimiAtlaniyor,[Verification] {projectType} projesi için build adımı atlanıyor.,,AgentVerificationLoopService.cs,146,[Verification] {projectType} projesi için build adımı atlanıyor.
VerificationSafWebProjesiHTMLCSSJSIcinTestAdimiAtlaniyor,[Verification] Saf web projesi (HTML/CSS/JS) için test adımı atlanıyor.,,AgentVerificationLoopService.cs,182,[Verification] Saf web projesi (HTML/CSS/JS) için test adımı atlanıyor.
VerificationPackageJsonDaTestScriptiBulunamadiTestAdimiAtlaniyor,[Verification] package.json'da test scripti bulunamadı. Test adımı atlanıyor.,,AgentVerificationLoopService.cs,203,[Verification] package.json'da test scripti bulunamadı. Test adımı atlanıyor.
VerificationPackageJsonOkunamadiTestAdimiAtlaniyor,[Verification] package.json okunamadı. Test adımı atlanıyor.,,AgentVerificationLoopService.cs,209,[Verification] package.json okunamadı. Test adımı atlanıyor.
VerificationPackageJsonBulunamadiTestAdimiAtlaniyor,[Verification] package.json bulunamadı. Test adımı atlanıyor.,,AgentVerificationLoopService.cs,215,[Verification] package.json bulunamadı. Test adımı atlanıyor.
VerificationFlutterTestDosyasiBulunamadiTestAdimiAtlaniyor,[Verification] Flutter test dosyası bulunamadı. Test adımı atlanıyor.,,AgentVerificationLoopService.cs,226,[Verification] Flutter test dosyası bulunamadı. Test adımı atlanıyor.
VerificationPythonTestDosyasiBulunamadiTestAdimiAtlaniyor,[Verification] Python test dosyası bulunamadı. Test adımı atlanıyor.,,AgentVerificationLoopService.cs,238,[Verification] Python test dosyası bulunamadı. Test adımı atlanıyor.
VerificationNETTestProjesiBulunamadiTestAdimiAtlaniyor,[Verification] .NET test projesi bulunamadı. Test adımı atlanıyor.,,AgentVerificationLoopService.cs,250,[Verification] .NET test projesi bulunamadı. Test adımı atlanıyor.
VerificationProjectTypeProjesiIcinTestAdimiAtlaniyor,[Verification] {projectType} projesi için test adımı atlanıyor.,,AgentVerificationLoopService.cs,266,[Verification] {projectType} projesi için test adımı atlanıyor.
MaxRetrySayisiAsildi,⚠️ Max retry sayısı aşıldı,,AgentVerificationLoopService.cs; AgentVerificationLoopService.cs,299,⚠️ Max retry sayısı aşıldı
TestDuzeltmeDenemesiAttemptMaxAutoFixAttempts,🔧 Test düzeltme denemesi {attempt}/{MaxAutoFixAttempts}...,,AgentVerificationLoopService.cs,305,🔧 Test düzeltme denemesi {attempt}/{MaxAutoFixAttempts}...
TestDuzeltmeDenemesiAttemptBasarisiz,Test düzeltme denemesi {attempt} başarısız,,AgentVerificationLoopService.cs,330,Test düzeltme denemesi {attempt} başarısız
TestDenemedeAttemptDuzeltildi,✓ Test denemede {attempt} düzeltildi!,,AgentVerificationLoopService.cs,340,✓ Test denemede {attempt} düzeltildi!
TestDuzeltmeDenemesiHatasiExMessage,Test düzeltme denemesi hatası: {ex.Message},,AgentVerificationLoopService.cs,348,Test düzeltme denemesi hatası: {ex.Message}
BuildDuzeltmeDenemesiAttemptMaxAutoFixAttempts,🔧 Build düzeltme denemesi {attempt}/{MaxAutoFixAttempts}...,,AgentVerificationLoopService.cs,368,🔧 Build düzeltme denemesi {attempt}/{MaxAutoFixAttempts}...
BuildBasarisiz,Build başarısız,,AgentVerificationLoopService.cs,372,Build başarısız
BuildDuzeltmeDenemesiAttemptAgentYanitiBasarisiz,Build düzeltme denemesi {attempt} agent yanıtı başarısız,,AgentVerificationLoopService.cs,393,Build düzeltme denemesi {attempt} agent yanıtı başarısız
BuildDenemedeAttemptDuzeltildi,✓ Build denemede {attempt} düzeltildi!,,AgentVerificationLoopService.cs,403,✓ Build denemede {attempt} düzeltildi!
BuildDuzeltmeDenemesiHatasiExMessage,Build düzeltme denemesi hatası: {ex.Message},,AgentVerificationLoopService.cs,412,Build düzeltme denemesi hatası: {ex.Message}
BasarisizSD,başarısız:\s+(\d+),,AgentVerificationLoopService.cs,441,başarısız:\s+(\d+)
MatchGroups1ValueTestBasarisizOldu,{match.Groups[1].Value} test başarısız oldu,,AgentVerificationLoopService.cs,443,{match.Groups[1].Value} test başarısız oldu
TestlerBasarisiz,Testler başarısız,,AgentVerificationLoopService.cs,449,Testler başarısız
AIEylemiBaslatildiRequestActionTitle,AI eylemi başlatıldı: {request.ActionTitle},,AiActionService.cs; AiActionService.cs,63,AI eylemi başlatıldı: {request.ActionTitle}
AIYanitiAlinamadi,AI yanıtı alınamadı.,,AiActionService.cs; ChatFlowService.cs,75,AI yanıtı alınamadı.
AIAracCagrisiBasariylaTamamlandiToolName,AI araç çağrısı başarıyla tamamlandı: {toolName},,AiActionService.cs,90,AI araç çağrısı başarıyla tamamlandı: {toolName}
